"Cause of death (both sexes, 55â€“64 years)",Number,"Percent of total deaths","Death rate"
"All causes",374937,100,883.3
"Malignant neoplasms",111765,29.8,263.3
"Diseases of heart",80837,21.6,190.4
"Accidents (unintentional injuries)",24892,6.6,58.6
"Chronic lower respiratory diseases",18743,5,44.2
"Diabetes mellitus",15508,4.1,36.5
"Chronic liver disease and cirrhosis",14385,3.8,33.9
"Cerebrovascular diseases",12931,3.4,30.5
"Intentional self-harm (suicide)",8238,2.2,19.4
"Nephritis, nephrotic syndrome and nephrosis",5857,1.6,13.8
Septicemia,5672,1.5,13.4
"All other causes",76109,20.3,179.3