"Cause of death (male, 10â€“14 years)",Number,"Percent of total deaths","Death rate"
"All causes",1896,100,17.9
"Accidents (unintentional injuries)",510,26.9,4.8
"Intentional self-harm (suicide)",331,17.5,3.1
"Malignant neoplasms",221,11.7,2.1
"Assault (homicide)",140,7.4,1.3
"Congenital malformations, deformations and chromosomal abnormalities",106,5.6,1
"Chronic lower respiratory diseases",54,2.8,0.5
"Diseases of heart",43,2.3,0.4
"Influenza and pneumonia",30,1.6,0.3
"Cerebrovascular diseases",24,1.3,0.2
"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",17,0.9,*
"All other causes",420,22.2,4