"Principal reason","Percent distribution","Standard error of percent"
"All female visits, age 15â€“64 years",55.3,0.6
"Stomach pain, cramps, and spasms",6,0.3
"Chest pain and related symptoms",3,0.2
"Headache, pain in head",2.3,0.1
"Back symptoms",1.9,0.1
"Problems of pregnancy and the post-partum period",1.7,0.1
"Pain, site not referable to a specific body system",1.6,0.1
"Symptoms referable to throat",1.2,0.1
"Shortness of breath.",1.2,0.1
Nausea,1.1,0.1
"Uterine and vaginal bleeding",1,0.1
"All other reasons2",34.4,0.4
